ISO_COUNTRY_CODE,AWARD_VALUE_EURO,CRIT_CRITERIA
PL,,gwarancja---termin wykonania naprawy okresowej na 5- tym poziomie wraz z modernizacją każdej z następnych z lokomotyw elektrycznych---termin wykonania naprawy okresowej na 5- tym poziomie wraz z modernizacją pierwszej z lokomotyw elektrycznych
DE,1,
PL,2153.76,
PL,193608.06,
IT,,
UK,1093680.58,Quality
PL,,Termin dostarczenia przedmiotu zamówienia---Termin gwarancji
GR,,
UK,5777.09,
DE,214267.14,
HR,,Rok isporuke
RO,,
PL,928.67,Termin dostawy zapotrzebowania częściowego
PL,7521.41,
CZ,556.91,
RO,,
FR,175000,Valeur technique de l&apos;offre
RO,,
RO,40194.2,
DE,66000,Leistung
HR,,Rok isporuke
HR,34642.49,Rok isporuke
CZ,6719.91,
SE,1888734.64,
PL,477.48,termin płatności
FR,690275,Délai d&apos;exécution et visite du site---Valeur technique
PL,326.69,termin dostawy y
DE,0.01,Bemusterung der Stühle für den Plenarsaal
RO,552.9,
DK,2169807.53,
FR,10631915.8,Valeur technique
PL,,Samodzielna realizacja kluczowych elementów (części) zamówienia
ES,,capacidad agogida alumnado
DE,1,
SI,1950,Cena---Dodatne ugodnosti
FR,6957,Valeur technique
SI,,
BG,260318.28,
CZ,,Velikost balení
HU,338788.74,
RO,,
UK,87798.63,See procurement documents
HU,106179.67,A felülvizsgálati munkákat irányító (az [M.2.1)] alkalmassági feltétel keretében bemutatott) szakember érintés- és/vagy tűz- és/vagy villámvédelmi és/vagy kéziszerszám-felülvizsgálat végzése és/vagy i
BG,,
FR,612428.14,Valeur technique
DE,1805124.89,
PL,,Termin wykonania zamówienia
PL,2776.15,
PL,102.38,
RO,123423.18,
ES,453053.44,Oferta económica por las actividades básicas---Oferta económica por las actividades variables---Optimización de medios humanos para las limpiezas especiales---Optimización de medios humanos para las limpiezas ordinarias---Propuesta de prestación del servicio
FR,2883.23,Le prix n&apos;est pas le seul critère d&apos;attribution et tous les critères sont énoncés uniquement dans les documents du marché.
RO,1713.16,
DK,,Kvalitet
FR,17,
LV,323230,Estētiskās īpašības
SI,1015.2,
UK,56962.53,Invoicing---Methodology---One planet living---Site licences/permits---Social Value
PL,,
RO,64566.16,
ES,,
BG,341292.57,1. Техническо предложение — ТП---1.1.Номинална мощност на лазерния източник — М---1.2. Дебелина на слоя — Д
FI,50000,Eri osatekijöistä koostuva kokonaislaatu
FR,117880,Valeur technique
RO,,
DE,0.01,
RO,,
PL,1507.82,
UK,17088759.01,Commercial---Quality
RO,,
FR,,
ES,471811.49,C 1 Compromiso adscripción vehículo---C 2 Compromiso incremento partida reparaciones a justificar---C 3 Compromiso adscripción plataforma adicional---Oferta económica---Oferta técnica 1. Análisis de la situación actual del servicio---Oferta técnica 2. Proyecto de explotación del servicio---Oferta técnica 3. Plan de gestión de residuos y otros
ES,748659.06,Ampliación plazo garantía del producto---Calidad---Precio
RO,67.44,
ES,4132231.41,Instalaciones (plantas de aglomerado y canteras)---Maquinaria---Mejoras a la maquinaria establecida como mínima---Oferta económica
ES,,Valoración técnica
FI,1367000,
RO,20755.27,
IT,17120.2,
GR,1179,Εγγύηση καλής λειτουργίας---Ποιότητα εξυπηρέτηση Χρόνος και όροι παράδοσης Υπηρεσίες εκπαίδευσης προσωπικού---Ποιότητα κατασκευής; ενεργειακή απόδοση και εργονομική και εύχρηστη λειτουργία---Συμφωνία του προσφερόμενου προϊόντος με τις τεχνικές προδιαγραφές---Τεχνική υποστήριξη
RO,,
SI,,Ponudbena cena---Več živil slo. porekla
FR,,Valeur technique
GR,2524.92,
LV,2936.4,
UK,16484.96,Compliance with contract scope and specification---Governance; quality control and risk pharmaceutical quality assessment (PQA) — Section 1---Governance; quality control and risk pharmaceutical quality assessment (PQA) — Section 2 onwards---Product handling and management robot compatibility---Supply and delivery of product wholesale distribution
MK,,
EE,,
PT,,Preço
DE,1558840,
RO,45914.91,
PL,1012.19,Termin dostawy
FR,,
RO,290.31,
DE,13022.34,Kilometer Änderung---Tagespauschale
RO,,
FR,816170,Technique et méthodologique
CZ,2334.59,
FR,319816.01,Valeur technique
SI,,
RO,10115.27,
PL,6846.36,Termin dostawy
LT,,
RO,,
RO,11801.15,
RO,2549.89,Perioada de garantie Garantie tehnica de la data instalarii si punerii in functiune
NO,406046.03,
DE,,
PL,1387.8,jakość
DE,0.01,Angebotspreis inklusive aller Bedarfspositionen und Optionen---Qualitätssicherungsmaßnahmen gemäß beigefügten Vordruck---jährliche Reinigungsstunden inklusive aller Bedarfspositionen und Optionen
SI,6751675.34,
PL,17929345.05,
PL,8096060,Dostępność specjalistów (D)
UK,284812.65,Price---Quality
FR,934771,Partie technique
UK,4400.97,Attributes---Capability---Client review---Custom metric---Features---Qualifications
CZ,732.49,
DE,966767.8,
RO,,
DE,,Konzeptidee---Projektteam
SK,751562,
LT,,
PL,2896.27,Ocena techniczna – jakość---Termin realizacji zamówienia
PL,3752.56,
RO,,
IT,,Escavatore---Servizio post-vendita---Tempi consegna
EE,,
PL,616.86,
RO,1911.47,
ES,35450,Criterio precio---Criterios cualitativos
RO,,
DE,473318.26,
PT,,Peças procedimento---Peças procedimento
RO,1010.89,
FR,10515,Logistique et prestations associées---Prix des fournitures---Valeur technique du produit
IE,8000000,
FR,,
PL,,
SI,,
ES,,Criterio 1. Descuento ofertado por volumen de facturación---Criterio 2. Cláusula esencial del contrato. Plazo de entrega de los productos---Criterio 3. Coste de mantenimiento y reparación básica de los productos---Criterios cuantificables por juicio de valor
ES,1669155.84,Mejoras del equipo de trabajo---Modelo de gestión de la demanda y plan de metodología---Plan de formación continua---Plan de transferencia del servicio a la finalización del contrato
RO,4551.87,
PL,3410.78,
PL,1024.15,
LT,,
RO,83450.99,
RO,5484.37,
RO,,
RO,,
BG,,Качество---Цена
RO,,
PL,,
SE,4721836.61,Inlämnade beskrivningar---Offererade nyttigheter
RO,,
SI,64000,Strokovni kader
PL,148294.35,Samodzielna realizacja kluczowych elementów (części) zamówienia
FR,18900000,
RO,711.83,F1 – factor de evaluare
RO,,
RO,,
RO,,
LV,162407.4,Atlaide rezerves daļām un materiāliem % pozīcijā (P2) (saskaņā ar Nolikuma 4. pielikumu)
RO,1852.36,
RO,1185.58,
DE,518487.39,Netzpacht 55 %---Versorgungskonzept Endkundenpreis 45 %
DE,307911.39,
PL,42325.95,Okres gwarancji i rękojmi za wady
LT,,
CZ,463839.74,
BG,,
CZ,,Zkušenosti specialisty
FR,,
RO,,Ofertantul trebuie sa faca dovada ca a prestat servicii similare in ultimii ultimii 3 ani calculati de la data limita de depunere a ofertelor. Prin servicii similare s... detalii pe www.e-licitatie.ro---având in vedere că supravegherea sănătății lucrătorilor reprezintă totalitatea serviciilor medicale; care asigură prevenirea; depistarea; dispensarizarea bolilor profe... detalii pe www.e-licitatie.ro
PL,53723.01,
BG,,
DE,1,
DE,471645,Folgekosten und Kundendienst---Qualität/Nutzerakzeptanz---Technische Auswertung
CZ,615.19,
SI,2348.55,
FR,,Le prix n&apos;est pas le seul critère d&apos;attribution et tous les critères sont énoncés uniquement dans les documents du marché.
RO,4920.66,
FR,186864,Coûts prestation et transport---Taux de DDS/Valorisation énergétique---Valeur technique
FR,10930000,Qualité de la facturation---Qualité du service client
NL,57120,zie bestek
IE,,
SI,327.32,Cena---Embalaža---Kakovost živil---Popust na uradno veljavni cenik
GR,,
PL,703.02,Termin dostawy
ES,51914.35,Oferta económica---Plan de prestación del servicio/organización---Servicios especiales
PT,,
RO,5.06,
DE,16675.03,
PL,6730.9,
RO,1019.19,
RO,81080.23,
RO,4651.13,
LT,,
FR,988,Délai de livraison---Démarche environnementale---Valeur technique
DE,27619.66,
SK,114425.73,
LT,,
RO,,
PL,304589.01,Jednorazowe końcówki do dozowania prób pacjentów---Możliwość zdalnej diagnostyki analizatora przez Internet---Oprogramowanie w języku polskim
SI,,
HR,1733300.75,Jamstveni rok -Jamstveni rok na autobus (kompletno vozilo) -Jamstveni rok na jenjač---Ukupan operativni trošak tijekom životnog vijeka vozila---Vrijeme odaziva u slučaju kvara---Širina prednjih vrata
BE,900000,Distance des stations-service par rapport aux institutions de l’ACIS---Remise octroyée en Belgique
ES,234080,Plan de formación de los técnicos---Valoración de los técnicos
RO,,
PL,42875.32,
RO,46.36,
PL,600.34,
PL,7504.19,
PL,41589.1,Termin dostaw cząstkowych
PL,,parametry jakościowe PJ
UK,350.89,Attributes---Capability---Client review---Custom metric---Features---Qualifications
IT,99495.56,Offerta tecnica
PL,8873.56,
LT,,
RO,4130.4,Perioada de garantie.
HR,,Rok isporuke
ES,3883125.02,Contenido y grado de detalle de la propuesta técnica así como la idoneidad técnica de la solución propuesta---Oferta económica---Programación de los trabajos
LV,40898,
FR,212383.39,Valeur technique
RO,556.34,
IT,179820,
ES,111200,Memoria técnica (detalle de piezas; dimensiones; trabajos...)
FR,21376,Au regard du prix total TTC par personne pour le séjour proposé sur la tranche haute de participants---Présentation des lieux et de l&apos;hébergement proposé — dates proposées — l&apos;attractivité des activités et des animations proposées
FR,62683.62,Performance en matière de protection de l&apos;environnement---Valeur technique
NO,101511.51,Delivery time---Environment---Quality and suitability---Testing the work wear before purchasing
RO,,1) Componenta tehnica; 1.2) Garantie extinsa
FR,,Valeur technique
HU,99979.1,
MK,,
FR,278058.04,Moyens et modalités de gestion mis à la disposition---Prix de la solution---Valeur technique de l&apos;offre
FR,32000,Diversité des produits proposés aux catalogues du fournisseur---Mesures de développement durable---Qualité---Valeur technique
RO,95294.29,Numarul de agenti care indeplinesc conditia enumerata mai jos
HU,322162.51,
PL,10826.46,Jakość---Termin dostawy
PL,204628.49,
RO,2775.34,
PT,,
DK,,Emballage---Kvalitet og funktion
PL,10769.65,
HR,,rok isporuke
IT,,
SI,6990.92,
UK,78010.18,
PL,744.6,
DE,1,
PT,25234,000---Classificação académica quantitativa---Experiência em contexto Escolar---Experiência na área de formação---Formações complementares---Grau Académico
RO,,
LT,,
FR,81574,
IT,684930,
FR,,Le prix n&apos;est pas le seul critère d&apos;attribution et tous les critères sont énoncés uniquement dans les documents du marché.
RO,,
PL,,
DE,202992,
UK,,Range of legal and commercial criteria to demonstrate compliance capability and value---Range of technical accreditation; qualification and competency requirements to demonstrate compliance capability and value
PL,3769.55,
PL,830116.81,
UK,,
PL,5057.98,Termin dostawy
ES,1,
RO,18055.76,
FI,179364,Huoltopalvelun vasteaika---Laitteille ja tuotteille myönnettävä takuu
FR,367349.34,
RO,6467.72,
PL,6843819.81,
LT,,
HU,28843.07,A keretmegállapodás első szakaszában az ajánlati felhívás III.1.3) pont M/2.2) pontjában előírt; közlekedési építmények tervezési szakterületen - a 266/2013. (VII. 11.) Korm. rendelet szerinti - KÉ-K---Az egyes tervezési helyszínekre/projektekre meghatározott tervezési határidőhöz képest megajánlott előteljesítés időtartama (nap)
BG,3469.68,
RO,,
SI,246.4,
LT,8136.36,
FR,136123.2,valeur technique
DK,4018162.09,Kvalitet
DE,454467.88,Angebot für die Gesamtleistung der Leistungen bei Freianlagen einschließlich Zuschläge; besonderer Leistungen---Darst. Kommunikations-Strategie zw. Auftraggeber; den Akteuren und der Öffentlichkeit; Erläuterung erster Vorschläge für Beteiligungsformate; z. B. anhand von Referenzen mit vergleichbaren Bauvorhaben---Darstellung der Herangehensweise und der Zeitplanung unter Berücksichtigung der besonderen Anforderungen---Darstellung erster inhaltlicher Ideen und der Themenschwerpunkte; z. B. barrierefreies Spielen; anhand von Referenzen mit vergleichbaren Bauvorhaben; Gestaltqualität---Darstellung von Personalkonzept und -einsatzplan; Qualifikation u. Erfahrung der vorgesehenen Mitarbeiter; Sicherstellung der laufenden Verfügbarkeit eines auskunftsfähigen Ansprechpartners für den AG---Stundensätze
FR,391000,
RO,226226.06,
RO,30.07,
CH,374095.96,
DE,443037.4,
SI,4362.85,
IT,38528,
PL,,
RO,986.24,Termenul de livrare Se va puncta termenul ofertat pentru livrarea medicamentelor; termen calculat ca perioada cuprinsa intre data emiterii comenzii ferme de catre achi... detalii pe www.e-licitatie.ro
ES,1,no se establecen criterios de valoración; todos los licitadores que cumplan los requisitos establecidos en los pliegos formarán parte del acuerdo
LV,567157.25,
ES,,Mejor oferta económica y otros criterios de evaluación automática mediante aplicación de fórmulas
SI,,Embalaža---Sheme kakovosti
RO,416385.05,
GR,1007,
FR,150000,Prix des prestations---Valeur technique
RO,9483.07,
GR,,
IT,,Qualità
BE,,
BG,,Качество (Тк)
RO,77938.17,
FR,200000,1 — Qualité de l&apos;offre
PL,,
RO,,
RO,,
RO,776.35,F1 – Factor de evaluare
RO,,
PL,,parametry jakości---termin dostawy
RO,,Ptehnic – punctajul tehnic
FR,66588.81,Valeur technique de l&apos;offre appréciée à l&apos;aide du mémoire technique
BG,,Гаранционен срок---Други предложения
DE,,
PL,309697.51,
RO,,
MK,,
FR,133747.2,valeur technique
DK,306252.53,Ergonomi og betjeningsvenlighed---Rengøring---Teknisk funktionalitet
ES,,Experiencia en elaboración y ratificación de informes de valoración de secuelas
HU,1355.95,Átlagos szállítási távolság
RO,3155.96,Termenul de livrare Se va puncta termenul ofertat pentru livrarea medicamentelor; termen calculat ca perioada cuprinsa intre data emiterii comenzii ferme de catre achi... detalii pe www.e-licitatie.ro
RO,,
BG,,
MK,2369.13,
PL,1269.08,
RO,,
RO,201.04,F1 – Factor de evaluare
RO,,
BE,278693.25,
FR,198896,Valeur technique
PL,2714.07,Cena---Termin płatności
SI,75679,Cena---Dodatne ugodnosti
FR,29709400,Critère financier---Critère technique
PL,130886.8,Okres zatrudniania w szpitalu osoby realizującej zamówienie (um. o pracę lub um. cywilnopr. w wym. czasu pr. odpowiad. u co najm. ½ etatu) liczony w m-cach w ciągu ostatnich 5 lat przed upł. term. skł. of.
HU,47648.32,
IE,,
RO,,
SI,,
FR,,
IT,1044311.12,
BE,,Coût---Valeur technique
DE,130000,
RO,2160.03,
PL,,Termin gwarancji i rękojmi
DE,1,Leistung
PT,,Proposta economicamente mais vantajosa para a entidade adjudicante; na modalidade mais baixo preço ou custo.
DE,0.01,
RO,5932607,Termen de livrare.
NL,,
SE,793268.55,
SE,269144.69,
UK,39873771.03,
PL,168826.79,
RO,315.89,
FR,1,Capacités de mise en œuvre---Partenariat et démarche qualité---Pédagogie
BG,,
UK,20506510.82,Quality
AT,271630,lt. Teil I – Vergabeverfahren
RO,1727.5,
FR,43832,
PL,424956.67,Doświadczenie kierownika projektu---Termin realizacji
FR,250000000,Droit exclusif des titulaires
RO,16993.66,
RO,,
PL,,Wydłużony okres udzielonej rękojmi
FR,,Valeur technique de l&apos;offre appréciée à l&apos;aide du mémoire technique
BG,1160.65,
UK,153909.34,Quality
RO,,
ES,238059.84,
RO,13922.66,
RO,381.66,
AT,971905.46,Qualitätskriterium
LT,,
ES,1090315.9,
FR,22982,Valeur technique
RO,,
RO,,
NL,,Plan van aanpak bouwteam---Plan van aanpak continuering dienstverlening---​Duurzaamheid
RO,66.38,
PL,,
GR,54183,
FR,21000,Délais de livraison---Valeur technique
MK,134276.66,
PL,,
FR,81828.88,
RO,,
PL,,jakość realizacji dostaw
IT,56.12,Adeguatezza della struttura organizzativa e del gruppo di lavoro proposto---Ampliamento delle fasce di reperibilità del responsabile del servizio---Efficacia delle procedure proposte per ridurre il consumo di sostanze chimiche (uso di prodotti riutilizzabili in microfibra; efficienza dei sistemi di dosaggio e relativa formazione del personale; et---Incidenza percentuale dei prodotti di pulizia conformi ai criteri di assegnazione delle etichette ambientali ISO di tipo I sulla quantità totale di prodotti di pulizia utilizzati suddivisi per---Offerta di prodotti DOP; IGP; STG; tradizionali; aggiuntivi rispetto a quelli già previsti dal capitolato.---Personale adibito all’erogazione del servizio e relativa formazione---Possesso della registrazione Emas o certificazione ISO 14001 in corso di validità---Qualità del reparto PANINI (sandwiches; fagotti; toast; etc..) offerti giornalmente---Qualità della formazione specialistica dedicata al personale anche in relazione a quanto previsto dal d.lgs 81/2008 e dal d.m. 24.5.2012 (CAM)---Qualità delle PASTE E CORNETTI offerti giornalmente---Qualità e quantità del LATTE offerto giornalmente---Rispetto quanto previsto dal capitolato d’appalto; ampliamento della gamma per varietà e rilevanza con l’aggiunta di prodotti biologici. In particolare
RO,,
FR,675355,Valeur technique
PL,12099.78,
HU,,Többletjótállás mértéke a minimálisan kötelező 12 hónap felett (egész hónapban megadva; minimum 0 hónap; maximum 24 hónap)
RO,34221.83,
RO,,Factorul de evaluare garantie tehnica de la data recepţiei cantitative şi calitative” (G) factorul garantie tehnica de la data recepţiei cantitative şi calitative” [...] detalii pe www.e-licitatie.ro
CZ,66225.17,Cena přístroje/ů (bez DPH)---Servisní náklady za celkový počet přístrojů (bez DPH)
FR,25000,
IT,6607,
SK,72650,
NO,42634.83,
ES,38962,Evaluables de forma automática por aplicación de fórmulas
GR,2436.01,
HU,9099.29,
ES,55000,Precio lote 3---Recursos personales ofertados superiores a los establecidos en los pliegos (lote 3)
EE,206100,2019. aasta arendusteenuse tunnihind---2020. aasta arendusteenuse tunnihind---2021. aasta arendusteenuse tunnihind---2022. aasta arendusteenuse tunnihind---Hooldusteenuse maksumus
PL,46414.28,
HR,292262.07,Točka 6.5. DON-a
FR,167125,
DE,1,Qualität
PL,,
SE,2063000,Project team and work planning---Proposal for technical implementation
PL,4983.51,
BG,,Качество (Тк)
LT,,
RO,1264.41,
RO,,
ES,16800,Criterios que dependen de juicio de valor; según pliegos
PL,13623.77,
DE,132186,
LT,,Garantinis terminas---Pristatymo laikas
RO,1011.53,
DE,283500,
SI,,
SK,,
RO,,Lanţul de aprovizionare (P2)
RO,206.52,
PL,24154.68,
LT,,
FI,84000,
HU,5994.47,A teljesítésbe bevonásra kerül legalább 1 fő olyan szakember; aki városi környezetben megvalósított mélyépítési munkák tervezésében gyakorlattal rendelkezik (igen/nem)---A teljesítésbe bevonásra kerül legalább 1 fő olyan szakember; aki ívóvízvezeték tervezésében gyakorlattal rendelkezik (igen/nem)
RO,350230.75,
FR,314633,Moyens d&apos;analyses---Relation clientèle
RO,,
LT,30500,
FR,89250,Mémoire technique
DE,0.01,
MK,614.57,
RO,148.5,
MT,,
BG,,
RO,,
FR,30951,Valeur technique de l&apos;offre
RO,28.44,
RO,,
SI,76804.38,
SE,283310.2,
HR,,Rok isporuke
ES,316175.28,No aplica (negociado por exclusividad)
PL,17401.57,termin dostawy/ uzupelnienia banku---termin płatności---termin rozpatrzenia reklamacji
RO,,
SI,1476.49,
FR,211259,Le prix n&apos;est pas le seul critère d&apos;attribution et tous les critères sont énoncés uniquement dans les documents du marché.
IT,1704057.66,Tecnica---Tempo
PL,581.69,
LU,2504500,Quality of the tender and test
FR,330000,
RO,343.39,
NO,19954.62,
FR,33687.28,Valeur technique
RO,,
BG,,
PL,1143849.01,
PL,54465.24,
DE,,
UK,84141.79,Quality
RO,,
RO,1295176.28,Timpul de livrare de la primirea comenzii lansate de beneficiar
SI,1042,Cena---Dodatne ugodnosti
RO,19942.76,
SE,9443.67,Erfarenhet av uppdrag motsvarande beställarens---Kompetens hos konsulterna
HU,,
RO,,
EE,99000,
RO,,
PL,3801817.92,Utworzenie własnych grup interwencyjnych dedykowanych tylko do JW
UK,,
FR,1637.7,Critère 1) intérets therapeutiques et techniques---Critère 2) Cout d&apos;utilisation---Critère 3) Prestations du fournisseur et performance environnementale
RO,318.51,
UK,2278501.2,Criterion 1---Criterion 1
EE,,
HR,55440.15,Rok isporuke
UK,12121.63,Attributes---Capability---Client review---Custom metric---Features---Qualifications
CH,6742179.07,CAd 1) Prix et coûts---CAd 2) Exigences de qualité
PL,1919.96,
BG,43480.57,
RO,2423.45,
RO,,
PL,939.59,Termin dostawy
SI,,
UK,74.4,Attributes---Capability---Client review---Custom metric---Features---Qualifications
NO,0.1,See the tender documentation
